MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
[(CuCl)(m-k3:k1-pypzacac)]n<|>Compound 5,POQNOA,Water Stability,Stable,,"Compounds 1–5 were stable toward oxygen and moisture, and readily soluble in H2O, DMF, DMSO, MeOH, EtOH and MeCN, but insoluble in toluene, Et2O, CH2Cl2 and n-hexane.",10.1039/C4RA11743C
[Zn3Cl2L(DMF)4]·2DMF<|>3,GONNAA,Water Stability,Unstable,,"Despite the possible advantageous effect of water as a minor component of the solvent mixture, compounds 1–4 are not stable under air due to the presence of moisture. A significant change of PXRD patterns took place within tenth of minutes or hours (Fig. S20, S21, S23 and S24‡). While 4 is generally unstable and the primary factor of crystallinity loss is seemingly efflorescence, in other cases a slow conversion to another phase is observed rather than an immediate amorphisation. It could be associated with partial hydrolysis of the M–Cl bonds, especially in the case of the zinc complex 3.",10.1039/C4DT01022A
{[Cu(atc)(H2O)]·H2O}n<|>compound 1,JOFKIA,Water Stability,Stable,,The unique impeller-like (H2O)12 water clusters display reversible encapsulation with a high degree of precision. This phenomenon is currently astonishing and may provide an unusual insight into exploring the mysterious behaviours of water clusters in nanotubes. The water molecules are rapidly re-encapsulated into these dehydrated nanotubes via coordination and hydrogen-bonding interactions.,10.1039/C3CE42087F
[(MoO2)2(xdp)(H2O)2]·2H2O<|>compound 1<|>1,CELZEA,Water Stability,Stable,,"The pale green colour characteristic of 2 was lost in the first few hours of immersion, and the resulting product was colourless. The PXRD pattern of the sample soaked in water matches that of the as-synthesised 1, confirming that the fully dehydrated 2 has been re-hydrated, to re-form 1.",10.1039/C3CE40484F
{[Ni(L)]2[W(CN)8]}n<|>complex 3,KILFUI,Water Stability,Unstable,,"The results clearly demonstrated that complex 2 was transformed step by step from the most symmetric Ia3%d 3D network for complex 2 into another Cc 3D structure for complex 3, and further transformed into the 0D macrocycle structure for complex 1. The mechanism of water-mediated single-crystal transformation from 3D complex 2 to 3D complex 3 to 0D complex 1 in two steps or from complex 2 to complex 1 in one step may be attributed to the collapse of 3D framework for complexes 2 and 3 induced by water, and then slow disassembly back into the soluble clusters, including the original precursors which finally were reassembled to form new single crystals of complex 3 and/or complex 1.",10.1039/C3CC46063K
[Cd(3-bpdh)2(ClO4)2]n<|>compound 1,DUYVAW,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents. It is expected to exhibit anion exchange properties due to the presence of the labile coordinated perchlorate ion. Since complex 1 is insoluble in water and common organic solvents, it is expected to exhibit anion exchange properties due to the presence of the labile coordinated perchlorate ion.28 A well-ground powder of complex 1 (∼60 mg) was suspended in 5 ml 0.01 M aqueous solution (taking ion-free water) of a Na salt of different anions viz. NaN3, NaNCO, NaSCN, NaNO3 and Na2CrO4 separately and stirred gently for 24 hours at room temperature to permit the anion exchange. After that each mixture was filtered and washed with deionized water three times. The completion of the anion exchange with the parent complex 1 was monitored by FT-IR spectroscopy (Fig. 3) and PXRD measurements.",10.1039/C5DT03738G
{[Cd(3-bpdh)(suc)(H2O)]·3(H2O)}n<|>compound 2,DUYVEA,Water Stability,Stable,,"The water vapor adsorption of 2 has also been studied at 298 K to understand the nature of interaction of water with the pore wall of the framework. It shows a steep rise in the uptake of water vapor of ∼36 cm3 g−1 at very low pressure (P/P0 ≈ 0.32), which has been corroborated with the high water affinity of the desolvated framework. In the crystal structure, there is a coordinated water molecule which is released at the sample preparation temperature (130 °C) and creates an open metal site in the framework. This open metal site is responsible for the said rise of water uptake at very low pressure. Thereafter, a sharp increase in the vapor adsorption profile was observed which reaches finally up to ∼94 cm3 g−1 which corresponds to around two molecules of H2O per formula unit of 2 (Fig. 6). This moderately high water uptake of 2 is due to the presence of an open metal site in the desolvated form, the presence of a polar azine moiety in the framework and also due to the presence of flexible succinate with an uncoordinated oxygen atom.",10.1039/C5DT03738G
[Sm(H2L)(C2O4)(H2O)]·2H2O<|>compound 2,DISJIA,Water Stability,Stable,,"When the samples heated at 200 °C were suspended in water overnight and then the solid was filtered off and dried at room temperature, the same XRD patterns as those of the original crystal were regenerated. Thus, the dehydrated solids of compounds 1–5 may be potential reversible adsorbent materials for water molecules.",10.1039/C3DT51618K
[Nd(H2L)(C2O4)(H2O)]·2H2O<|>compound 1,DISJOG,Water Stability,Stable,,"When the samples heated at 200 °C were suspended in water overnight and then the solid was filtered off and dried at room temperature, the same XRD patterns as those of the original crystal were regenerated. Thus, the dehydrated solids of compounds 1–5 may be potential reversible adsorbent materials for water molecules.",10.1039/C3DT51618K
Zn2L2·12H2O<|>complex 2,ROQVIE,Water Stability,Unstable,,"When 5 mg complex 2 was immersed in 1 mL of 0.5 M H2SO4 aqueous solution, the solid sample was completely decomposed and dissolved into the solution in seconds (Fig. S2b†), indicating the instability of the complex in acid.",10.1039/C4DT02338B
ABT·2ClO4<|>ABT·Cr2O7,YIKJUZ,Water Stability,Stable,,"1. Crystalline ABT·2 ClO4 is stable in water and common organic solvents.
2. PXRD also indicated that ABT·2 ClO4 can keep its crystallinity after immersion in aqueous solutions of HClO4 and NaOH with pH values ranging from zero to ten for 24 h.",10.1002/anie.201307650
{[Ce(tci)·H2O]·4H2O}n<|>compound 1<|>1,KOBPIB,Water Stability,Stable,,"Both compounds are stable in air and insoluble in common organic solvents. In the case of H2O as guest, 1 a absorbs four water molecules which correspond to eight water molecules per unit pore, as in 1. The sorption profile initially increases slowly, with a value at P/P0 - 0.06 that corresponds to one H2O molecule per unit pore, and then increases very fast. This indicates that water molecules can not easily enter the small pores (2.52 @ 1.30 A), but H-bonding interactions of the pore surface with the water molecules enable the guests to enter the pores.",10.1002/anie.200705986
{[Gd(tci)·H2O]·4H2O}n<|>compound 2<|>2,KOBPUN,Water Stability,Stable,,Both compounds are stable in air and insoluble in common organic solvents. The MOF is found to be water insoluble.,10.1002/anie.200705986
[(CH3)2NH2][Er3(μ3-OH)(BDC)3(HCOO)3]<|>Er-BDC,XASJUZ,Water Stability,Stable,,"The chemical stabilities of Er-BDC and Er-NDC were checked using powder X-ray diffraction (PXRD) studies. The results show that the experimental PXRD patterns are consistent with the simulated ones upon soaking in various organic solvents for 48 h, even in aqueous solutions with pH = 2 (0.01 M HCl) and 12 (0.01 M NaOH) for 12 h, indicating that no framework collapse or phase transition occurs during the chemical stability tests. Similarly, Y- and Tb-complexes also show super stability toward aqueous solutions with pH = 2 and 12. These materials show very high thermal and chemical stability in common organic solvents and water with pH values ranging from 2 to 12.",10.1039/C7CC00363C
CAU-10-H<|>Aluminium isophthalate,OQOBUT,Water Stability,Stable,,"1. ""No degradation of the adsorption capacity could be observed which makes CAU-10-H the most stable MOF under these humid cycling conditions reported until now.""
2. ""The results described herein demonstrate that CAU-10-H remains stable during several thousand adsorption and desorption cycles with water as working fluid.""
3. ""The successful coating procedure, the high stability up to 10 000 cycles under working conditions, the nearly perfect shape of the isotherm and the high uptake capacity make CAU-10-H the best performing MOF for heat pump applications reported until now.""",10.1039/C6TA01757F
{Mn3(AzDC)3(DMF)4·2(methanol)}n<|>compound 1,EPUMEJ,Water Stability,Unstable,,"However, this system is very sensitive to water molecules, as in the presence of water no crystal product could be obtained.",10.1039/C6CE01085G
"{[Cd2(tdz)2(4,4'-bpy)2]·6.5H2O}n<|>compound 1<|>1",GITKOM,Water Stability,Stable,,"Furthermore, the chemical stability of 1 in water is verified by matching the powder diffractogram of the ground sample immersed in water for 48 h with its experimental and simulated powder patterns. It is found to retain its structural integrity in water as shown in Fig. S10, ESI.† The established stability of 1 in water makes it suitable for the use in practical applications of detecting nitro-explosives under aqueous conditions.9",10.1039/C8DT04474K
Co6–MOF,REBLES,Water Stability,Stable,,"The PXRD patterns still exhibit high similarities compared with simulated PXRD patterns after soaking in water for 24 h. In order to prove that the Co6–MOF structure remains intact in water, we performed N2 sorption of the Co6–MOF which was soaked in water for 24 h. The corresponding adsorption isotherm of this sample is presented in Fig. S9† and the result shows that its BET surface area is similar to that of the activated sample indicating that the structure of the Co6–MOF is maintained well after being soaked in water.",10.1039/C7TA02611K
Eu-TCA<|>Eu3(H3TCA)3<|>Eu3(C21H12NO6)3,YEKWOC,Water Stability,Unstable,,"Eu − TCA is very sensitive to water, that is, fluorescence quenching in the presence of water, its application on fluorescence imaging in biological system is further limited.",10.1002/adfm.201102157
[V(OH)2(C4O4)2]<|>compound 2,ROJNEJ,Water Stability,Stable,,This compound is stable in air and insoluble in water.,10.1002/anie.199720761
[Co2(C8H2O6)(H2O)2]·8H2O<|>compound 1,NAVJAW,Water Stability,Stable,,"The results of the elemental analysis confirm that the channels are occupied solely by water molecules even though a solvent mixture was used in the synthesis. The crystal structure analysis revealed a three-dimensional coordination polymer with honeycomb topology that contains one-dimensional, solvent-filled channels (Figure 1 a).",10.1002/anie.200501508
{[Zn(ADA)(L)]·2H2O}n<|>MOF 1,GIKPUO,Water Stability,Stable,,"Chemical stabilities of 1 and 2 in water and different organic solvents were also established by soaking the MOFs in respective media for one week, filtering and drying the solid material followed by PXRD analysis. Comparison of the PXRD data of the dried samples after soaking in water and different respective organic solvents corroborates well with the simulated PXRD data except peak broadening observed in methanol for 1 and DMSO for both MOFs and clearly demonstrates the chemical stability and structural integrity of both MOFs (Fig. 4c & d).",10.1039/C8QI00744F
{[Cd(ADA)(L)]·2H2O}n<|>MOF 2,GIKQAV,Water Stability,Stable,,"Chemical stabilities of 1 and 2 in water and different organic solvents were also established by soaking the MOFs in respective media for one week, filtering and drying the solid material followed by PXRD analysis. Comparison of the PXRD data of the dried samples after soaking in water and different respective organic solvents corroborates well with the simulated PXRD data except peak broadening observed in methanol for 1 and DMSO for both MOFs and clearly demonstrates the chemical stability and structural integrity of both MOFs (Fig. 4c & d). Good chemical stability of 1 and 2 may be attributed to structural features such as robust double pillared networks as well as supramolecular interactions between the sql nets. Tight coordination around the metal center and offset stacking of the two dimensional nets of the MOFs inhibit the accessibility of incoming solvent molecules towards the metal centre and may probably impart chemical and hydrolytic stability for the MOFs in different solvent systems.",10.1039/C8QI00744F
